2024-10-10 15:05:52,403 - INFO - Started a thread. Current number of threads: 1
2024-10-10 15:05:52,403 - INFO - Started a thread. Current number of threads: 2
2024-10-10 15:05:52,403 - INFO - Started a thread. Current number of threads: 3
2024-10-10 15:05:52,403 - INFO - Started a thread. Current number of threads: 4
2024-10-10 15:05:52,403 - INFO - Started a thread. Current number of threads: 5
2024-10-10 15:05:52,403 - INFO - Started a thread. Current number of threads: 6
2024-10-10 15:05:52,403 - INFO - Started a thread. Current number of threads: 7
2024-10-10 15:20:06,025 - WARNING - Connection pool is full, discarding connection: localhost. Connection pool size: 1
2024-10-10 15:20:06,026 - WARNING - Connection pool is full, discarding connection: localhost. Connection pool size: 1
2024-10-10 15:20:06,643 - WARNING - Connection pool is full, discarding connection: localhost. Connection pool size: 1
2024-10-10 15:20:07,077 - WARNING - Connection pool is full, discarding connection: localhost. Connection pool size: 1
2024-10-10 15:20:07,211 - WARNING - Connection pool is full, discarding connection: localhost. Connection pool size: 1
2024-10-10 15:20:07,212 - WARNING - Connection pool is full, discarding connection: localhost. Connection pool size: 1
2024-10-10 15:20:07,212 - WARNING - Connection pool is full, discarding connection: localhost. Connection pool size: 1
2024-10-10 15:20:07,212 - WARNING - Connection pool is full, discarding connection: localhost. Connection pool size: 1
2024-10-10 15:20:07,772 - WARNING - Connection pool is full, discarding connection: localhost. Connection pool size: 1
2024-10-10 15:20:07,782 - WARNING - Connection pool is full, discarding connection: localhost. Connection pool size: 1
2024-10-10 15:20:07,785 - WARNING - Connection pool is full, discarding connection: localhost. Connection pool size: 1
2024-10-10 15:20:07,787 - WARNING - Connection pool is full, discarding connection: localhost. Connection pool size: 1
2024-10-10 15:20:08,354 - WARNING - Connection pool is full, discarding connection: localhost. Connection pool size: 1
2024-10-10 15:20:08,936 - WARNING - Connection pool is full, discarding connection: localhost. Connection pool size: 1
2024-10-10 15:20:08,941 - WARNING - Connection pool is full, discarding connection: localhost. Connection pool size: 1
